,PROCEDIMENTO,DURACAO_ANESTESIA
0,AMPUTACAO / DESARTICULACAO DE MEMBROS INFERIORES,42.29333333333334
1,AMPUTAÇÃO / DESARTICULAÇÃO DE DEDO,29.407692307692308
2,AMPUTAÇÃO / DESARTICULAÇÃO DE MEMBROS SUPERIORES,33.983333333333334
3,AMPUTAÇÃO / DESARTICULAÇÃO DE MÃO E PUNHO,32.666666666666664
4,APENDICECTOMIA,20.0
5,APENDICECTOMIA VIDEOLAPAROSCOPICA,44.48333333333333
6,ARTRODESE DE PEQUENAS ARTICULAÇÕES,20.0
7,ARTROPLASTIA DE ARTICULAÇÃO DA MÃO,70.0
8,ARTROPLASTIA TOTAL DE JOELHO - REVISAO / RECONSTRUCAO,32.91666666666667
9,ARTROPLASTIA TOTAL PRIMARIA DO JOELHO,71.13920634920635
10,COLECISTECTOMIA VIDEOLAPAROSCOPICA,36.0
11,CORREÇÃO DE TUBEROSIDADE DO MAXILAR,29.0
12,CURATIVO GRAU I COM OU SEM DEBRIDAMENTO,41.32083333333333
13,CURATIVO GRAU II C/ OU S/ DEBRIDAMENTO,35.13333333333333
14,DEBRIDAMENTO DE FASCEITE NECROTIZANTE,35.91666666666667
15,DEBRIDAMENTO DE ULCERA / DE TECIDOS DESVITALIZADOS,31.9861391694725
16,DEBRIDAMENTO DE ULCERA / NECROSE,24.402777777777775
17,DRENAGEM DE ABSCESSO,34.419444444444444
18,ENXERTO MICROCIRURGICO DE NERVO PERIFERICO (ÚNICO NERVO),29.0
19,EXCISAO DE LESAO E/OU SUTURA DE FERIMENTO DA PELE ANEXOS E MUCOSA,38.36
20,EXCISAO E SUTURA DE LESAO NA PELE C/ PLASTICA EM Z OU ROTACAO DE RETALHO,20.0
21,EXCISÃO E/OU SUTURA SIMPLES DE PEQUENAS LESÕES / FERIMENTOS DE PELE / ANEXOS E MUCOSA,30.06666666666667
22,EXPLORAÇÃO ARTICULAR C/ OU S/ SINOVECTOMIA DE MÉDIAS / GRANDES ARTICULAÇÕES,24.0375
23,FASCIOTOMIA DE MEMBROS INFERIORES,53.083333333333336
24,FASCIOTOMIA DE MEMBROS SUPERIORES,32.0
25,FIXADOR PELVICO,55.0
26,FULGURACAO / CAUTERIZACAO QUIMICA DE LESOES CUTANEAS,50.0
27,INCISAO E DRENAGEM DE ABSCESSO,5.0
28,LAPAROTOMIA EXPLORADORA,24.9
29,LAPAROTOMIA VIDEOLAPAROSCOPICA PARA DRENAGEM E/OU BIOPSIA,20.0
30,MANIPULAÇÃO ARTICULAR,34.333333333333336
31,OSTEOTOMIA DE OSSOS LONGOS EXCETO DA MÃO E DO PÉ,51.0
32,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS,23.333333333333332
33,PROCEDIMENTOS SEQUENCIAIS EM ORTOPEDIA,38.0
34,QUADRICEPSPLASTIA,25.75
35,REALINHAMENTO DE MECANISMO EXTENSOR DOS DEDOS DA MÃO,24.34166666666667
36,RECONSTRUCAO DE TENDAO PATELAR / TENDAO QUADRICIPITAL,32.44375
37,RECONSTRUCAO LIGAMENTAR EXTRA-ARTICULAR DO JOELHO,37.259166666666665
38,RECONSTRUCAO LIGAMENTAR INTRA-ARTICULAR DO JOELHO (CRUZADO ANTERIOR),32.09206773618538
39,RECONSTRUCAO LIGAMENTAR INTRA-ARTICULAR DO JOELHO (CRUZADO POSTERIOR C/ OU S/ ANTERIOR),30.21666666666667
40,RECONSTRUÇÃO DE POLIA TENDINOSA DOS DEDOS DA MÃO,39.3
41,REDUCAO INCRUENTA DA LUXACAO / FRATURA-LUXACAO METATARSO-FALANGIANA / INTERFALANGIANA DO PE,34.0
42,REDUCAO INCRUENTA DE FRATURA / LESAO FISARIA DOS METATARSIANOS,31.0
43,REDUCAO INCRUENTA DE FRATURA / LUXACAO / FRATURA-LUXACAO DO TORNOZELO,36.0
44,REDUCAO INCRUENTA DE FRATURA DIAFISARIA / LESAO FISARIA DISTAL DA TIBIA C/ OU S/ FRATURA DA FIBULA,40.175
