,PROCEDIMENTO,DURACAO_ANESTESIA
0,AMPUTAÇÃO / DESARTICULAÇÃO DE DEDO,42.74
1,AMPUTAÇÃO / DESARTICULAÇÃO DE MEMBROS SUPERIORES,37.0
2,AMPUTAÇÃO / DESARTICULAÇÃO DE MÃO E PUNHO,27.5
3,ARTRODESE DE MÉDIAS / GRANDES ARTICULAÇÕES DE MEMBRO SUPERIOR,44.675
4,ARTRODESE DE PEQUENAS ARTICULAÇÕES,39.6
5,ARTROPLASTIA DE RESSECÇÃO DE PEQUENAS ARTICULAÇÕES,10.0
6,BIOPSIA DE OSSO / CARTILAGEM DE MEMBRO SUPERIOR (POR AGULHA / CEU ABERTO),26.0
7,DEBRIDAMENTO DE ULCERA / DE TECIDOS DESVITALIZADOS,34.40555555555555
8,DEBRIDAMENTO DE ULCERA / NECROSE,31.0
9,ENXERTO DERMO-EPIDERMICO,30.0
10,ENXERTO LIVRE DE PELE TOTAL,32.5
11,ENXERTO MICROCIRURGICO DE NERVO PERIFERICO (2 OU MAIS NERVOS),63.0
12,EXCISAO E SUTURA DE LESAO NA PELE C/ PLASTICA EM Z OU ROTACAO DE RETALHO,29.03666666666667
13,EXPLORAÇÃO ARTICULAR C/ OU S/ SINOVECTOMIA DE MÉDIAS / GRANDES ARTICULAÇÕES,45.833333333333336
14,EXPLORAÇÃO ARTICULAR C/ OU S/ SINOVECTOMIA DE PEQUENAS ARTICULAÇÕES,48.0
15,EXTIRPACAO E SUPRESSAO DE LESAO DE PELE E DE TECIDO CELULAR SUBCUTANEO,27.758333333333333
16,FASCIECTOMIA,65.0
17,FASCIOTOMIA DE MEMBROS SUPERIORES,25.0
18,MANIPULAÇÃO ARTICULAR,87.5
19,MICROCIRURGIA DE PLEXO BRAQUIAL COM EXPLORAÇÃO E NEUROLISE,38.271428571428565
20,MICROCIRURGIA DE PLEXO BRAQUIAL COM MICROENXERTIA,31.1
21,MICRONEUROLISE DE NERVO PERIFERICO,43.653125
22,MICRONEURORRAFIA,31.777314814814815
23,NEURORRAFIA,41.16296296296296
24,OSTEOTOMIA DE OSSOS DA MÃO E/OU DO PÉ,34.90833333333333
25,PREPARO DE RETALHO,46.0
26,REALINHAMENTO DE MECANISMO EXTENSOR DOS DEDOS DA MÃO,17.5
27,RECONSTRUÇÃO CAPSULO-LIGAMENTAR DE COTOVELO PUNHO,58.608333333333334
28,RECONSTRUÇÃO DE POLIA TENDINOSA DOS DEDOS DA MÃO,17.5
29,REDUCAO INCRUENTA DA LUXACAO / FRATURA-LUXACAO METATARSO-FALANGIANA / INTERFALANGIANA DO PE,10.0
30,REDUÇÃO INCRUENTA DE FRATURA / LESÃO FISARIA NO PUNHO,35.0
31,REDUÇÃO INCRUENTA DE FRATURA DOS METACARPIANOS,15.0
32,REDUÇÃO INCRUENTA DE LUXAÇÃO OU FRATURA / LUXACAO NO PUNHO,40.46666666666667
33,RESSECÇÃO DE CISTO SINOVIAL,38.2
34,RESSECÇÃO SIMPLES DE TUMOR ÓSSEO / DE PARTES MOLES,35.266666666666666
35,RETIRADA DE FIO OU PINO INTRA-ÓSSEO,34.065555555555555
36,RETIRADA DE PLACA E/OU PARAFUSOS,34.052564102564105
37,REVISÃO CIRÚRGICA DE COTO DE AMPUTAÇÃO DOS DEDOS,37.699999999999996
38,TENODESE,37.5
39,TENOMIORRAFIA,85.40813492063492
40,TENOMIOTOMIA / DESINSERÇÃO,55.0
41,TENOPLASTIA OU ENXERTO DE TENDÃO UNICO,30.227777777777778
42,TENORRAFIA ÚNICA EM TÚNEL OSTEO-FIBROSO,30.870833333333334
43,TENÓLISE,30.0
44,TRANSPOSICAO DO NERVO CUBITAL,30.0
45,TRANSPOSIÇÃO / TRANSFERÊNCIA MIOTENDINOSA MÚLTIPLA,25.6
46,TRANSPOSIÇÃO / TRANSFERÊNCIA MIOTENDINOSA ÚNICA,35.0
47,TRATAMENTO CIRURGICO DE FRATURA / LESAO FISARIA PROXIMAL (COLO) DO FEMUR (SINTESE),30.0
48,TRATAMENTO CIRURGICO DE LESOES EXTENSAS C/ PERDA DE SUBSTANCIA CUTANEA,22.0
49,TRATAMENTO CIRURGICO DE NEUROPATIA COMPRESSIVA COM OU SEM MICROCIRURGIA,20.0
50,TRATAMENTO CIRURGICO DE SINDROME COMPRESSIVA EM TUNEL OSTEO-FIBROSO AO NIVEL DO CARPO,32.19074074074074
51,TRATAMENTO CIRURGICO P/ REPARACOES DE PERDA DE SUBSTANCIA DA MAO,35.857142857142854
52,TRATAMENTO CIRÚGICO DE FRATURA DA DIÁFISE DO ÚMERO,46.833333333333336
53,TRATAMENTO CIRÚRGICO DE DEDO EM GATILHO,10.0
54,TRATAMENTO CIRÚRGICO DE DEDO EM MARTELO / EM GARRA (MÃO E PÉ),70.42142857142856
55,TRATAMENTO CIRÚRGICO DE FRATURA / LESÃO FISARIA DA EXTREMIDADE PROXIMAL DO UMERO,45.0
56,TRATAMENTO CIRÚRGICO DE FRATURA / LESÃO FISARIA DAS FALANGES DA MÃO (COM FIXAÇÃO),32.30133333333333
57,TRATAMENTO CIRÚRGICO DE FRATURA / LESÃO FISARIA DO CÔNDILO / TRÓCLEA/APOFISE CORONÓIDE DO ULNA / CABEÇA DO RÁDIO,30.054166666666667
58,TRATAMENTO CIRÚRGICO DE FRATURA / LESÃO FISARIA DOS METACARPIANOS,35.501960784313724
59,TRATAMENTO CIRÚRGICO DE FRATURA DA CLAVÍCULA,35.4
60,TRATAMENTO CIRÚRGICO DE FRATURA DA EXTREMIDADE / METÁFISE DISTAL DOS OSSOS DO ANTEBRAÇO,36.03442211055277
61,TRATAMENTO CIRÚRGICO DE FRATURA DE EXTREMIDADES / METÁFISE PROXIMAL DOS OSSOS DO ANTEBRAÇO,33.75
62,TRATAMENTO CIRÚRGICO DE FRATURA DIAFISARIA DE AMBOS OS OSSOS DO ANTEBRAÇO (C/ SINTESE),55.0
63,TRATAMENTO CIRÚRGICO DE FRATURA DIAFISARIA ÚNICA DO RÁDIO / DA ULNA,33.22028985507246
64,TRATAMENTO CIRÚRGICO DE FRATURA LESÃO FISARIA DOS OSSOS DO ANTEBRAÇO,35.92820512820513
65,TRATAMENTO CIRÚRGICO DE FRATURA-LUXAÇÃO DE GALEAZZI / MONTEGGIA / ESSEX-LOPRESTI,44.96666666666667
66,TRATAMENTO CIRÚRGICO DE FRATURAS DOS OSSOS DO CARPO,28.769791666666666
67,TRATAMENTO CIRÚRGICO DE LESÃO AGUDA CAPSULO-LIGAMENTAR DO MEMBRO SUPERIOR: COTOVELO / PUNHO,29.364583333333336
68,TRATAMENTO CIRÚRGICO DE LESÃO DA MUSCULATURA INTRÍNSECA DA MÃO,39.325
69,TRATAMENTO CIRÚRGICO DE LUXAÇÃO / FRATURA-LUXACAO DOS OSSOS DO CARPO,29.40864197530864
70,TRATAMENTO CIRÚRGICO DE LUXAÇÃO / FRATURA-LUXAÇÃO CARPO-METACARPIANA,42.38777777777777
71,TRATAMENTO CIRÚRGICO DE LUXAÇÃO / FRATURA-LUXAÇÃO METACARPO-FALANGIANA,31.929761904761904
