,PROCEDIMENTO,DURACAO_ANESTESIA
0,AMPUTACAO / DESARTICULACAO DE MEMBROS INFERIORES,497.3666666666666
1,AMPUTACAO / DESARTICULACAO DE PE E TARSO,19.316666666666663
2,AMPUTAÇÃO / DESARTICULAÇÃO DE DEDO,27.428571428571427
3,ARTRODESE DE MEDIAS / GRANDES ARTICULACOES DE MEMBRO INFERIOR,34.94583333333333
4,ARTRODESE DE PEQUENAS ARTICULAÇÕES,35.0
5,CURATIVO GRAU I COM OU SEM DEBRIDAMENTO,38.0
6,CURATIVO GRAU II C/ OU S/ DEBRIDAMENTO,28.361111111111114
7,DEBRIDAMENTO DE FASCEITE NECROTIZANTE,32.4
8,DEBRIDAMENTO DE ULCERA / DE TECIDOS DESVITALIZADOS,29.710714285714285
9,DEBRIDAMENTO DE ULCERA / NECROSE,31.0
10,DRENAGEM DE ABSCESSO,22.727777777777778
11,DRENAGEM LIQUÓRICA LOMBAR EXTERNA,20.0
12,EXERESE DE CISTO SACRO-COCCIGEO,33.0
13,MICRONEUROLISE DE NERVO PERIFERICO,10.0
14,OSTECTOMIA DE OSSOS DA MÃO E/OU DO PÉ,28.0
15,RECONSTRUCAO DE TENDAO PATELAR / TENDAO QUADRICIPITAL,30.0
16,RECONSTRUCAO LIGAMENTAR DO TORNOZELO,10.0
17,REDUCAO INCRUENTA DE FRATURA DIAFISARIA / LESAO FISARIA DISTAL DA TIBIA C/ OU S/ FRATURA DA FIBULA,30.0
18,REDUCAO INCRUENTA DE LUXACAO / FRATURA-LUXACAO DO JOELHO,40.85
19,REDUCAO INCRUENTA DE LUXACAO OU FRATURA / LUXACAO TARSO-METATARSICA,15.0
20,REDUÇÃO INCRUENTA C/ MANIPULAÇÃO DE LUXAÇÃO ESPONTANEA / PROGRESSIVA DO QUADRIL COM APLICAÇÃO DE DISPOSITIVOS DE CONTENÇÃO,35.0
21,REDUÇÃO INCRUENTA DE FRATURA / LESÃO FISARIA DE COTOVELO,15.0
22,REDUÇÃO INCRUENTA DE FRATURA / LESÃO FISARIA NO PUNHO,38.66666666666666
23,REDUÇÃO INCRUENTA DE FRATURA DIAFISARIA DOS OSSOS DO ANTEBRAÇO,39.55
24,REDUÇÃO INCRUENTA DE LUXAÇÃO / FRATURA-LUXAÇÃO DO COTOVELO,15.0
25,REDUÇÃO INCRUENTA DE LUXAÇÃO COXOFEMORAL TRAUMÁTICA / PÓS-ARTROPLASTIA,16.666666666666668
26,REDUÇÃO INCRUENTA DE LUXAÇÃO OU FRATURA / LUXACAO NO PUNHO,28.675
27,RESSECÇÃO DE CISTO SINOVIAL,127.14166666666665
28,RESSECÇÃO DO OLECRANO E/OU CABEÇA DO RÁDIO,25.0
29,RETIRADA DE CORPO ESTRANHO INTRA-ÓSSEO,20.0
30,RETIRADA DE ESPAÇADORES / OUTROS MATERIAIS,40.16666666666666
31,RETIRADA DE FIO OU PINO INTRA-ÓSSEO,28.772727272727273
32,RETIRADA DE FIXADOR EXTERNO,24.816666666666666
33,RETIRADA DE MATERIAL DE SÍNTESE ÓSSEA / DENTÁRIA,35.0
34,RETIRADA DE PLACA E/OU PARAFUSOS,33.012499999999996
35,REVISAO CIRURGICA DE COTO DE AMPUTACAO EM MEMBRO INFERIOR (EXCETO DEDOS DO PE),12.916666666666666
36,REVISÃO CIRÚRGICA DE COTO DE AMPUTAÇÃO DOS DEDOS,28.0
37,TENOMIORRAFIA,29.00151515151515
38,TENOPLASTIA OU ENXERTO DE TENDÃO UNICO,28.44666666666667
39,TENORRAFIA ÚNICA EM TÚNEL OSTEO-FIBROSO,40.333333333333336
40,TENÓLISE,10.25
41,TRANSFERENCIA MUSCULAR / TENDINOSA NO MEMBRO INFERIOR,2.0
42,TRANSPOSIÇÃO / TRANSFERÊNCIA MIOTENDINOSA MÚLTIPLA,30.0
43,TRATAMENTO CIRURGICO DE FRATURA / LESAO FISARIA DE OSSOS DO MEDIO-PE,31.333333333333332
44,TRATAMENTO CIRURGICO DE FRATURA / LESAO FISARIA DOS METATARSIANOS,27.572222222222223
45,TRATAMENTO CIRURGICO DE FRATURA / LESAO FISARIA DOS PODODACTILOS,54.28333333333333
46,TRATAMENTO CIRURGICO DE FRATURA / LESAO FISARIA PROXIMAL (COLO) DO FEMUR (SINTESE),24.96333333333333
47,TRATAMENTO CIRURGICO DE LUXACAO / FRATURA-LUXACAO ACROMIO-CLAVICULAR,22.5
48,TRATAMENTO CIRURGICO DE LUXACAO / FRATURA-LUXACAO ESTERNO-CLAVICULAR,42.0
49,TRATAMENTO CIRURGICO DE LUXACAO COXO-FEMORAL TRAUMATICA / POS-ARTROPLASTIA,39.8
50,TRATAMENTO CIRURGICO DE LUXACAO ESPONTANEA / PROGRESSIVA / PARALITICA DO QUADRIL,35.175
51,TRATAMENTO CIRURGICO DE RETARDO DE CONSOLIDACAO DA PSEUDARTROSE DE CLAVICULA / ESCAPULA,30.0
52,TRATAMENTO CIRURGICO P/ REPARACOES DE PERDA DE SUBSTANCIA DA MAO,37.0
53,TRATAMENTO CIRÚGICO DE FRATURA DA DIÁFISE DO ÚMERO,24.0
54,TRATAMENTO CIRÚRGICO DA AVULSÃO DE TUBEROSIDADES / ESPINHAS E CRISTA ILÍACA S/ LESÃO DO ANEL PÉLVICO,24.877777777777776
55,TRATAMENTO CIRÚRGICO DE ARTRITE INFECCIOSA (GRANDES E MÉDIAS ARTICULAÇÕES),30.0
56,TRATAMENTO CIRÚRGICO DE DEDO EM MARTELO / EM GARRA (MÃO E PÉ),32.31041666666667
57,TRATAMENTO CIRÚRGICO DE FRATURA / LESÃO FISARIA DAS FALANGES DA MÃO (COM FIXAÇÃO),32.72241379310345
58,TRATAMENTO CIRÚRGICO DE FRATURA / LESÃO FISARIA DO CÔNDILO / TRÓCLEA/APOFISE CORONÓIDE DO ULNA / CABEÇA DO RÁDIO,35.0
59,TRATAMENTO CIRÚRGICO DE FRATURA / LESÃO FISARIA DOS METACARPIANOS,34.59880952380952
60,TRATAMENTO CIRÚRGICO DE FRATURA / LESÃO FISARIA SUPRACONDILIANA DO ÚMERO,18.366666666666667
61,TRATAMENTO CIRÚRGICO DE FRATURA / LUXAÇÃO / FRATURA-LUXAÇÃO / DISJUNÇÃO DO ANEL PÉLVICO ANTERO-POSTERIOR,32.5
62,TRATAMENTO CIRÚRGICO DE FRATURA BIMALEOLAR / TRIMALEOLAR / DA FRATURA-LUXAÇÃO DO TORNOZELO,26.806060606060605
63,TRATAMENTO CIRÚRGICO DE FRATURA DA CLAVÍCULA,126.84880952380954
64,TRATAMENTO CIRÚRGICO DE FRATURA DA DIÁFISE DA TÍBIA,31.865350877192984
65,TRATAMENTO CIRÚRGICO DE FRATURA DA DIÁFISE DO FÊMUR,41.07692307692308
66,TRATAMENTO CIRÚRGICO DE FRATURA DA EXTREMIDADE / METÁFISE DISTAL DOS OSSOS DO ANTEBRAÇO,25.53080808080808
67,TRATAMENTO CIRÚRGICO DE FRATURA DA PATELA POR FIXAÇÃO INTERNA,27.833333333333332
68,TRATAMENTO CIRÚRGICO DE FRATURA DE EXTREMIDADES / METÁFISE PROXIMAL DOS OSSOS DO ANTEBRAÇO,30.466666666666665
69,TRATAMENTO CIRÚRGICO DE FRATURA DIAFISARIA DE AMBOS OS OSSOS DO ANTEBRAÇO (C/ SINTESE),33.056666666666665
70,TRATAMENTO CIRÚRGICO DE FRATURA DIAFISARIA ÚNICA DO RÁDIO / DA ULNA,30.898809523809522
71,TRATAMENTO CIRÚRGICO DE FRATURA DO ACETÁBULO,40.0
72,TRATAMENTO CIRÚRGICO DE FRATURA DO CALCÂNEO,58.293055555555554
73,TRATAMENTO CIRÚRGICO DE FRATURA DO PILÃO TIBIAL,34.67564102564102
74,TRATAMENTO CIRÚRGICO DE FRATURA DO PLANALTO TIBIAL,19.875
75,TRATAMENTO CIRÚRGICO DE FRATURA DO TALUS,25.476190476190474
76,TRATAMENTO CIRÚRGICO DE FRATURA DO TORNOZELO UNIMALEOLAR,27.348958333333332
77,TRATAMENTO CIRÚRGICO DE FRATURA LESÃO FISARIA DOS OSSOS DO ANTEBRAÇO,35.739285714285714
78,TRATAMENTO CIRÚRGICO DE FRATURA LESÃO FISÁRIA AO NÍVEL DO JOELHO,35.0
79,TRATAMENTO CIRÚRGICO DE FRATURA LESÃO FISÁRIA DISTAL DE TÍBIA,27.926666666666666
80,TRATAMENTO CIRÚRGICO DE FRATURA SUPRACONDILEANA DO FÊMUR (METÁFISE DISTAL),49.0
81,TRATAMENTO CIRÚRGICO DE FRATURA TRANSTROCANTERIANA,29.347916666666666
82,TRATAMENTO CIRÚRGICO DE FRATURA VICIOSAMENTE CONSOLIDADA DOS OSSOS LONGOS EXCETO DA MÃO E DO PÉ,25.0
83,TRATAMENTO CIRÚRGICO DE FRATURA-LUXAÇÃO DA ARTICULAÇÃO COXOFEMORAL (DUPLO ACESSO),19.716666666666665
84,TRATAMENTO CIRÚRGICO DE HALUX VALGUS C/ OSTEOTOMIA DO PRIMEIRO OSSO METATARSIANO,35.9974358974359
85,TRATAMENTO CIRÚRGICO DE LESÃO AGUDA CAPSULO-LIGAMENTAR DO MEMBRO SUPERIOR: COTOVELO / PUNHO,32.87962962962963
86,TRATAMENTO CIRÚRGICO DE LESÃO AGUDA CAPSULO-LIGAMENTAR MEMBRO INFERIOR (JOELHO / TORNOZELO),18.0
87,TRATAMENTO CIRÚRGICO DE LUXAÇÃO / FRATURA-LUXACAO DOS OSSOS DO CARPO,29.216666666666665
88,TRATAMENTO CIRÚRGICO DE LUXAÇÃO / FRATURA-LUXAÇÃO AO NÍVEL DO JOELHO,20.266666666666666
89,TRATAMENTO CIRÚRGICO DE LUXAÇÃO / FRATURA-LUXAÇÃO CARPO-METACARPIANA,26.0
90,TRATAMENTO CIRÚRGICO DE LUXAÇÃO / FRATURA-LUXAÇÃO METACARPO-FALANGIANA,31.744444444444444
91,TRATAMENTO CIRÚRGICO DE LUXAÇÃO / FRATURA-LUXAÇÃO METATARSO INTER-FALANGEANA,30.0
92,TRATAMENTO CIRÚRGICO DE LUXAÇÃO / FRATURA-LUXAÇÃO METATARSO-FALANGIANA / INTER-FALANGIANA,33.5
93,TRATAMENTO CIRÚRGICO DE LUXAÇÃO / FRATURA-LUXAÇÃO TARSO-METATARSICA,28.866666666666667
94,TRATAMENTO CIRÚRGICO DE LUXAÇÃO OU FRATURA-LUXAÇÃO DO COTOVELO,34.54333333333334
95,TRATAMENTO CIRÚRGICO DE PSEUDARTROSE / RETARDO DE CONSOLIDAÇÃO / PERDA ÓSSEA DA DIÁFISE TIBIAL,23.0
96,TRATAMENTO CIRÚRGICO DE PÉ PLANO VALGO,20.0
97,TRATAMENTO CIRÚRGICO DE SINOSTOSE RÁDIO ULNAR,47.0
98,TRATAMENTO CONSERVADOR DE FRATURA DE OSSO METACÁRPICO,35.0
99,TRATAMENTO DAS LESÕES OSTEO-CONDRAIS POR FIXAÇÃO OU MOSAICOPLASTIA JOELHO/TORNOZELO,40.0
100,TRATAMENTO MICROCIRURGICO DE TUMOR DE NERVO PERIFERICO / NEUROMA,30.0
101,URETEROLITOTOMIA,30.0
