,PROCEDIMENTO,DURACAO_CIRURGIA
0,AMPUTACAO / DESARTICULACAO DE MEMBROS INFERIORES,116.61666666666665
1,AMPUTAÇÃO / DESARTICULAÇÃO DE DEDO,43.72564102564103
2,AMPUTAÇÃO / DESARTICULAÇÃO DE MEMBROS SUPERIORES,78.53888888888889
3,AMPUTAÇÃO / DESARTICULAÇÃO DE MÃO E PUNHO,79.05
4,APENDICECTOMIA,40.0
5,APENDICECTOMIA VIDEOLAPAROSCOPICA,245.0
6,ARTRODESE DE PEQUENAS ARTICULAÇÕES,65.0
7,ARTROPLASTIA DE ARTICULAÇÃO DA MÃO,60.0
8,ARTROPLASTIA TOTAL DE JOELHO - REVISAO / RECONSTRUCAO,28.108333333333334
9,ARTROPLASTIA TOTAL PRIMARIA DO JOELHO,69.44047619047619
10,COLECISTECTOMIA VIDEOLAPAROSCOPICA,114.0
11,CORREÇÃO DE TUBEROSIDADE DO MAXILAR,76.0
12,CURATIVO GRAU I COM OU SEM DEBRIDAMENTO,79.79166666666667
13,CURATIVO GRAU II C/ OU S/ DEBRIDAMENTO,75.60740740740741
14,DEBRIDAMENTO DE FASCEITE NECROTIZANTE,121.66666666666666
15,DEBRIDAMENTO DE ULCERA / DE TECIDOS DESVITALIZADOS,63.317676767676765
16,DEBRIDAMENTO DE ULCERA / NECROSE,48.11111111111111
17,DRENAGEM DE ABSCESSO,80.09166666666667
18,ENXERTO MICROCIRURGICO DE NERVO PERIFERICO (ÚNICO NERVO),71.96666666666667
19,EXCISAO DE LESAO E/OU SUTURA DE FERIMENTO DA PELE ANEXOS E MUCOSA,40.160000000000004
20,EXCISAO E SUTURA DE LESAO NA PELE C/ PLASTICA EM Z OU ROTACAO DE RETALHO,50.0
21,EXCISÃO E/OU SUTURA SIMPLES DE PEQUENAS LESÕES / FERIMENTOS DE PELE / ANEXOS E MUCOSA,60.53333333333334
22,EXPLORAÇÃO ARTICULAR C/ OU S/ SINOVECTOMIA DE MÉDIAS / GRANDES ARTICULAÇÕES,106.54166666666666
23,FASCIOTOMIA DE MEMBROS INFERIORES,78.47777777777777
24,FASCIOTOMIA DE MEMBROS SUPERIORES,144.40666666666667
25,FIXADOR PELVICO,137.78333333333333
26,FULGURACAO / CAUTERIZACAO QUIMICA DE LESOES CUTANEAS,178.55
27,INCISAO E DRENAGEM DE ABSCESSO,10.0
28,LAPAROTOMIA EXPLORADORA,55.13333333333333
29,LAPAROTOMIA VIDEOLAPAROSCOPICA PARA DRENAGEM E/OU BIOPSIA,25.0
30,MANIPULAÇÃO ARTICULAR,76.33333333333333
31,OSTEOTOMIA DE OSSOS LONGOS EXCETO DA MÃO E DO PÉ,121.5
32,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS,118.0
33,PROCEDIMENTOS SEQUENCIAIS EM ORTOPEDIA,57.0
34,QUADRICEPSPLASTIA,70.9
35,REALINHAMENTO DE MECANISMO EXTENSOR DOS DEDOS DA MÃO,78.125
36,RECONSTRUCAO DE TENDAO PATELAR / TENDAO QUADRICIPITAL,68.253125
37,RECONSTRUCAO LIGAMENTAR EXTRA-ARTICULAR DO JOELHO,62.75
38,RECONSTRUCAO LIGAMENTAR INTRA-ARTICULAR DO JOELHO (CRUZADO ANTERIOR),64.09019607843138
39,RECONSTRUCAO LIGAMENTAR INTRA-ARTICULAR DO JOELHO (CRUZADO POSTERIOR C/ OU S/ ANTERIOR),104.14270833333333
40,RECONSTRUÇÃO DE POLIA TENDINOSA DOS DEDOS DA MÃO,138.0
41,REDUCAO INCRUENTA DA LUXACAO / FRATURA-LUXACAO METATARSO-FALANGIANA / INTERFALANGIANA DO PE,63.839999999999996
42,REDUCAO INCRUENTA DE FRATURA / LESAO FISARIA DOS METATARSIANOS,76.5
43,REDUCAO INCRUENTA DE FRATURA / LUXACAO / FRATURA-LUXACAO DO TORNOZELO,59.5
44,REDUCAO INCRUENTA DE FRATURA DIAFISARIA / LESAO FISARIA DISTAL DA TIBIA C/ OU S/ FRATURA DA FIBULA,90.30833333333334
45,REDUCAO INCRUENTA DE FRATURA E FRATURA-LUXACAO AO NIVEL DA CINTURA ESCAPULAR,60.0
46,REDUCAO INCRUENTA DE LUXACAO / FRATURA-LUXACAO DO JOELHO,43.29666666666667
47,REDUCAO INCRUENTA DE LUXACAO FEMURO-PATELAR,85.0
48,REDUCAO INCRUENTA DE LUXAÇÃO OU FRATURA / LUXAÇÃO ESCÁPULO-UMERAL,50.833333333333336
49,REDUÇAO INCRUENTA DE FRATURA / LESÃO FISARIA DO EXTREMO PROXIMAL DO ÚMERO,48.0
50,REDUÇÃO INCRUENTA C/ MANIPULAÇÃO DE LUXAÇÃO ESPONTANEA / PROGRESSIVA DO QUADRIL COM APLICAÇÃO DE DISPOSITIVOS DE CONTENÇÃO,67.86212121212121
51,REDUÇÃO INCRUENTA DE FRATURA / LESÃO FISARIA DE COTOVELO,126.0
52,REDUÇÃO INCRUENTA DE FRATURA / LESÃO FISARIA NO PUNHO,175.37833333333333
53,REDUÇÃO INCRUENTA DE FRATURA DIAFISARIA DOS OSSOS DO ANTEBRAÇO,86.33
54,REDUÇÃO INCRUENTA DE FRATURA DOS METACARPIANOS,96.3952380952381
55,REDUÇÃO INCRUENTA DE LUXAÇÃO / FRATURA-LUXAÇÃO DO COTOVELO,5.0
56,REDUÇÃO INCRUENTA DE LUXAÇÃO COXOFEMORAL TRAUMÁTICA / PÓS-ARTROPLASTIA,105.91481481481482
57,REDUÇÃO INCRUENTA DE LUXAÇÃO OU FRATURA / LUXACAO NO PUNHO,63.898275862068964
58,REDUÇÃO INCRUENTA DISJUNÇÃO / LUXAÇÃO / FRATURA / FRATURA-LUXAÇÃO AO NÍVEL DO ANEL PÉLVICO,59.233333333333334
59,REPARO DE BAINHA TENDINOSA AO NIVEL DO TORNOZELO,31.0
60,RESSECÇÃO DO OLECRANO E/OU CABEÇA DO RÁDIO,64.0
61,RETIRADA DE CORPO ESTRANHO INTRA-ARTICULAR,77.27222222222223
62,RETIRADA DE CORPO ESTRANHO INTRA-ÓSSEO,69.80555555555556
63,RETIRADA DE CORPO ESTRANHO SUBCUTANEO,62.30277777777778
64,RETIRADA DE ESPAÇADORES / OUTROS MATERIAIS,137.75
65,RETIRADA DE FIO OU PINO INTRA-ÓSSEO,75.80173611111111
66,RETIRADA DE FIXADOR EXTERNO,60.03518518518519
67,RETIRADA DE MATERIAL DE SÍNTESE ÓSSEA / DENTÁRIA,29.894444444444446
68,RETIRADA DE PLACA E/OU PARAFUSOS,84.875
69,SUTURA DE CORNEA,25.0
70,TENOMIORRAFIA,77.15216666666666
71,TENOMIOTOMIA / DESINSERÇÃO,37.38333333333333
72,TENOPLASTIA OU ENXERTO DE TENDÃO UNICO,71.20462962962964
73,TENORRAFIA ÚNICA EM TÚNEL OSTEO-FIBROSO,89.81944444444446
74,TORACOSTOMIA COM DRENAGEM PLEURAL FECHADA,81.0
75,TRANSPLANTE DO SEGUNDO PODODÁCTILO P/ POLEGAR / QUALQUER OUTRO DEDO DA MÃO,55.0
76,TRANSPOSICAO DA FIBULA PARA A TIBIA,61.63333333333333
77,TRANSPOSIÇÃO DA ULNA PARA O RÁDIO,139.1
78,TRATAMENTO CIRURGICO DAS DESINSERCOES DAS ESPINHAS INTERCONDILARES / EPICONDILARES,49.53333333333334
79,TRATAMENTO CIRURGICO DE FRATURA / LESAO FISARIA DE OSSOS DO MEDIO-PE,33.666666666666664
80,TRATAMENTO CIRURGICO DE FRATURA / LESAO FISARIA DOS METATARSIANOS,171.7177777777778
81,TRATAMENTO CIRURGICO DE FRATURA / LESAO FISARIA DOS PODODACTILOS,71.87708333333333
82,TRATAMENTO CIRURGICO DE FRATURA / LESAO FISARIA PROXIMAL (COLO) DO FEMUR (SINTESE),57.298924731182794
83,TRATAMENTO CIRURGICO DE LESOES EXTENSAS C/ PERDA DE SUBSTANCIA CUTANEA,125.0
84,TRATAMENTO CIRURGICO DE LUXACAO / FRATURA-LUXACAO ACROMIO-CLAVICULAR,84.18511904761905
85,TRATAMENTO CIRURGICO DE LUXACAO / FRATURA-LUXACAO ESCAPULO-UMERAL AGUDA,80.75
86,TRATAMENTO CIRURGICO DE LUXACAO / FRATURA-LUXACAO ESTERNO-CLAVICULAR,21.394444444444446
87,TRATAMENTO CIRURGICO DE LUXACAO COXO-FEMORAL TRAUMATICA / POS-ARTROPLASTIA,35.0
88,TRATAMENTO CIRURGICO DE LUXACAO ESPONTANEA / PROGRESSIVA / PARALITICA DO QUADRIL,85.75
89,TRATAMENTO CIRURGICO DE PAREDE TORACICA,32.03333333333333
90,TRATAMENTO CIRURGICO DE RETARDO DE CONSOLIDACAO DA PSEUDARTROSE DE CLAVICULA / ESCAPULA,63.0
91,TRATAMENTO CIRURGICO EM POLITRAUMATIZADO,9.8
92,TRATAMENTO CIRURGICO P/ REPARACOES DE PERDA DE SUBSTANCIA DA MAO,52.4375
93,TRATAMENTO CIRÚGICO DE FRATURA DA DIÁFISE DO ÚMERO,56.4078947368421
94,TRATAMENTO CIRÚRGICO DE ARTRITE INFECCIOSA (GRANDES E MÉDIAS ARTICULAÇÕES),90.35
95,TRATAMENTO CIRÚRGICO DE ARTRITE INFECCIOSA DAS PEQUENAS ARTICULAÇÕES,24.5
96,TRATAMENTO CIRÚRGICO DE ASSOCIAÇÃO FRATURA / LUXAÇÃO / FRATURA-LUXAÇÃO / DISJUNÇÃO DO ANEL PÉLVICO,26.78611111111111
97,TRATAMENTO CIRÚRGICO DE DEDO EM MARTELO / EM GARRA (MÃO E PÉ),61.237938596491226
98,TRATAMENTO CIRÚRGICO DE DEFORMIDADE DA COLUNA VIA ANTERIOR TRÊS NÍVEIS,37.0
99,TRATAMENTO CIRÚRGICO DE FRATURA / LESÃO FISARIA DA EXTREMIDADE PROXIMAL DO UMERO,54.82037037037037
100,TRATAMENTO CIRÚRGICO DE FRATURA / LESÃO FISARIA DAS FALANGES DA MÃO (COM FIXAÇÃO),67.76501182033097
101,TRATAMENTO CIRÚRGICO DE FRATURA / LESÃO FISARIA DE EPI~CÔNDILO / EPITROCLEA DO ÚMERO,30.0
102,TRATAMENTO CIRÚRGICO DE FRATURA / LESÃO FISARIA DO CÔNDILO / TRÓCLEA/APOFISE CORONÓIDE DO ULNA / CABEÇA DO RÁDIO,76.28
103,TRATAMENTO CIRÚRGICO DE FRATURA / LESÃO FISARIA DOS METACARPIANOS,61.82838541666666
104,TRATAMENTO CIRÚRGICO DE FRATURA / LESÃO FISARIA SUPRACONDILIANA DO ÚMERO,84.21000000000001
105,TRATAMENTO CIRÚRGICO DE FRATURA / LUXAÇÃO / FRATURA-LUXAÇÃO / DISJUNÇÃO DO ANEL PÉLVICO ANTERO-POSTERIOR,30.05
106,TRATAMENTO CIRÚRGICO DE FRATURA / LUXAÇÃO COXOFEMORAL C/ FRATURA DA EPÍFISE FEMORAL,1.6166666666666667
107,TRATAMENTO CIRÚRGICO DE FRATURA BIMALEOLAR / TRIMALEOLAR / DA FRATURA-LUXAÇÃO DO TORNOZELO,76.31165884194053
