,PROCEDIMENTO,DURACAO_CIRURGIA
0,AMPUTAÇÃO / DESARTICULAÇÃO DE DEDO,105.87777777777778
1,AMPUTAÇÃO / DESARTICULAÇÃO DE MEMBROS SUPERIORES,88.90833333333333
2,AMPUTAÇÃO / DESARTICULAÇÃO DE MÃO E PUNHO,50.8
3,ARTRODESE DE MÉDIAS / GRANDES ARTICULAÇÕES DE MEMBRO SUPERIOR,122.0
4,ARTRODESE DE PEQUENAS ARTICULAÇÕES,90.55
5,ARTROPLASTIA DE RESSECÇÃO DE PEQUENAS ARTICULAÇÕES,80.85
6,BIOPSIA DE OSSO / CARTILAGEM DE MEMBRO SUPERIOR (POR AGULHA / CEU ABERTO),92.0
7,DEBRIDAMENTO DE ULCERA / DE TECIDOS DESVITALIZADOS,74.31825396825397
8,DEBRIDAMENTO DE ULCERA / NECROSE,184.0
9,ENXERTO DERMO-EPIDERMICO,75.25
10,ENXERTO LIVRE DE PELE TOTAL,54.0
11,ENXERTO MICROCIRURGICO DE NERVO PERIFERICO (2 OU MAIS NERVOS),97.0
12,EXCISAO E SUTURA DE LESAO NA PELE C/ PLASTICA EM Z OU ROTACAO DE RETALHO,79.56333333333333
13,EXPLORAÇÃO ARTICULAR C/ OU S/ SINOVECTOMIA DE MÉDIAS / GRANDES ARTICULAÇÕES,64.93333333333334
14,EXPLORAÇÃO ARTICULAR C/ OU S/ SINOVECTOMIA DE PEQUENAS ARTICULAÇÕES,0.0
15,EXTIRPACAO E SUPRESSAO DE LESAO DE PELE E DE TECIDO CELULAR SUBCUTANEO,99.44166666666666
16,FASCIECTOMIA,145.0
17,FASCIOTOMIA DE MEMBROS SUPERIORES,50.0
18,MANIPULAÇÃO ARTICULAR,47.5
19,MICROCIRURGIA DE PLEXO BRAQUIAL COM EXPLORAÇÃO E NEUROLISE,46.65238095238095
20,MICROCIRURGIA DE PLEXO BRAQUIAL COM MICROENXERTIA,58.5
21,MICRONEUROLISE DE NERVO PERIFERICO,88.9125
22,MICRONEURORRAFIA,72.74398148148148
23,NEURORRAFIA,69.83518518518518
24,OSTEOTOMIA DE OSSOS DA MÃO E/OU DO PÉ,106.97916666666667
25,PREPARO DE RETALHO,49.0
26,REALINHAMENTO DE MECANISMO EXTENSOR DOS DEDOS DA MÃO,97.775
27,RECONSTRUÇÃO CAPSULO-LIGAMENTAR DE COTOVELO PUNHO,116.4
28,RECONSTRUÇÃO DE POLIA TENDINOSA DOS DEDOS DA MÃO,93.05
29,REDUCAO INCRUENTA DA LUXACAO / FRATURA-LUXACAO METATARSO-FALANGIANA / INTERFALANGIANA DO PE,120.0
30,REDUÇÃO INCRUENTA DE FRATURA / LESÃO FISARIA NO PUNHO,75.0
31,REDUÇÃO INCRUENTA DE FRATURA DOS METACARPIANOS,40.0
32,REDUÇÃO INCRUENTA DE LUXAÇÃO OU FRATURA / LUXACAO NO PUNHO,103.19444444444444
33,RESSECÇÃO DE CISTO SINOVIAL,59.6
34,RESSECÇÃO SIMPLES DE TUMOR ÓSSEO / DE PARTES MOLES,43.18333333333333
35,RETIRADA DE FIO OU PINO INTRA-ÓSSEO,65.97111111111111
36,RETIRADA DE PLACA E/OU PARAFUSOS,79.83116370808679
37,REVISÃO CIRÚRGICA DE COTO DE AMPUTAÇÃO DOS DEDOS,77.96666666666667
38,TENODESE,72.5
39,TENOMIORRAFIA,79.20674603174604
40,TENOMIOTOMIA / DESINSERÇÃO,123.0
41,TENOPLASTIA OU ENXERTO DE TENDÃO UNICO,79.4388888888889
42,TENORRAFIA ÚNICA EM TÚNEL OSTEO-FIBROSO,61.53958333333333
43,TENÓLISE,122.1388888888889
44,TRANSPOSICAO DO NERVO CUBITAL,40.0
45,TRANSPOSIÇÃO / TRANSFERÊNCIA MIOTENDINOSA MÚLTIPLA,14.416666666666666
46,TRANSPOSIÇÃO / TRANSFERÊNCIA MIOTENDINOSA ÚNICA,21.83333333333333
47,TRATAMENTO CIRURGICO DE FRATURA / LESAO FISARIA PROXIMAL (COLO) DO FEMUR (SINTESE),67.0
48,TRATAMENTO CIRURGICO DE LESOES EXTENSAS C/ PERDA DE SUBSTANCIA CUTANEA,20.0
49,TRATAMENTO CIRURGICO DE NEUROPATIA COMPRESSIVA COM OU SEM MICROCIRURGIA,10.0
50,TRATAMENTO CIRURGICO DE SINDROME COMPRESSIVA EM TUNEL OSTEO-FIBROSO AO NIVEL DO CARPO,78.1888888888889
51,TRATAMENTO CIRURGICO P/ REPARACOES DE PERDA DE SUBSTANCIA DA MAO,111.38333333333334
