,PROCEDIMENTO,DURACAO_CIRURGIA
0,AMPUTACAO / DESARTICULACAO DE MEMBROS INFERIORES,92.45
1,AMPUTACAO / DESARTICULACAO DE PE E TARSO,46.3
2,AMPUTAÇÃO / DESARTICULAÇÃO DE DEDO,63.42857142857143
3,ARTRODESE DE MEDIAS / GRANDES ARTICULACOES DE MEMBRO INFERIOR,88.92083333333333
4,ARTRODESE DE PEQUENAS ARTICULAÇÕES,52.0
5,CURATIVO GRAU I COM OU SEM DEBRIDAMENTO,25.0
6,CURATIVO GRAU II C/ OU S/ DEBRIDAMENTO,61.55555555555555
7,DEBRIDAMENTO DE FASCEITE NECROTIZANTE,82.86666666666666
8,DEBRIDAMENTO DE ULCERA / DE TECIDOS DESVITALIZADOS,56.632440476190474
9,DEBRIDAMENTO DE ULCERA / NECROSE,30.683333333333334
10,DRENAGEM DE ABSCESSO,85.8
11,DRENAGEM LIQUÓRICA LOMBAR EXTERNA,30.53333333333333
12,EXERESE DE CISTO SACRO-COCCIGEO,77.0
13,MICRONEUROLISE DE NERVO PERIFERICO,35.0
14,OSTECTOMIA DE OSSOS DA MÃO E/OU DO PÉ,32.0
15,RECONSTRUCAO DE TENDAO PATELAR / TENDAO QUADRICIPITAL,10.0
16,RECONSTRUCAO LIGAMENTAR DO TORNOZELO,18.216666666666665
17,REDUCAO INCRUENTA DE FRATURA DIAFISARIA / LESAO FISARIA DISTAL DA TIBIA C/ OU S/ FRATURA DA FIBULA,89.6111111111111
18,REDUCAO INCRUENTA DE LUXACAO / FRATURA-LUXACAO DO JOELHO,62.15
19,REDUCAO INCRUENTA DE LUXACAO OU FRATURA / LUXACAO TARSO-METATARSICA,10.0
20,REDUÇÃO INCRUENTA C/ MANIPULAÇÃO DE LUXAÇÃO ESPONTANEA / PROGRESSIVA DO QUADRIL COM APLICAÇÃO DE DISPOSITIVOS DE CONTENÇÃO,118.18333333333334
21,REDUÇÃO INCRUENTA DE FRATURA / LESÃO FISARIA DE COTOVELO,30.0
22,REDUÇÃO INCRUENTA DE FRATURA / LESÃO FISARIA NO PUNHO,91.31666666666666
